Minisector,STR,LAW,Fastest
0,268.47393649284857,269.11819042432745,LAW
1,287.7305636097965,287.35280225269844,STR
2,295.8779144008556,292.50398207910365,STR
3,132.0718652238234,131.32097823553633,STR
4,190.1361980969095,193.99449039269075,LAW
5,254.9994392205752,254.4285103784874,STR
6,142.56859696615402,143.14617911344672,LAW
7,205.23830518383272,205.55494381716494,LAW
8,256.15592714666667,257.07293730538163,LAW
9,280.1662031558897,279.9237023885714,STR
10,237.4804988121212,239.9116735380269,LAW
11,180.69846840734436,182.56931406087583,LAW
12,186.6319114590941,191.68263124714903,LAW
13,137.11226544155937,137.73822392316586,LAW
14,176.91660983572018,172.92982175994672,STR
15,162.0017136922124,164.74599204981683,LAW
16,218.39513965007592,220.7618514280635,LAW
17,238.85212279932776,234.77108871688313,STR
18,242.22400304761902,242.0440086517749,STR
19,232.56337352063915,242.55068984533332,LAW
20,141.95265128761906,140.79747069740833,STR
21,132.06594352510743,132.81455488318997,LAW
22,173.4153621849992,168.46415971165752,STR
23,154.02024235580856,154.37310427526882,LAW
24,227.08057912720977,230.68105488390626,LAW
25,254.22726865454544,,STR
