Minisector,LEC,HUL,Fastest
0,250.52169986888887,248.61454209890456,LEC
1,286.2675604076872,286.31535082472726,HUL
2,182.7975978692789,178.2430277804277,LEC
3,162.28640765928608,160.97077972577728,LEC
4,257.4765884639318,259.4416705010563,HUL
5,272.44682827580954,276.2485321169474,HUL
6,234.1672028383067,237.12452336575262,HUL
7,217.59335405714288,209.95975845757374,LEC
8,162.3837270749655,158.4897767173474,LEC
9,217.24061318179895,212.83754104730772,LEC
10,273.93532564343593,271.8456297736989,LEC
11,125.26487178738941,131.68506212263887,HUL
12,207.91877574357963,205.6587456193633,LEC
13,273.90224910506663,273.88891954882536,LEC
14,299.1780549688889,297.4952756175017,LEC
15,310.06020474828284,305.8661213631117,LEC
16,256.90894552673967,253.58888085584593,LEC
17,130.67663945459765,125.5883379446938,LEC
18,132.50290015740782,126.87270355794948,LEC
19,124.79085068484869,124.28336940406012,LEC
20,220.0177989272193,221.97777247635779,HUL
21,253.4903732104258,260.35343973551545,HUL
22,243.83448660483515,253.87313132440647,HUL
23,217.03220010111923,218.16670051169524,HUL
24,138.74016603177228,139.12678781641355,HUL
25,,209.51430812444445,HUL
