Minisector,RAI,VER,Fastest
0,251.85190692763356,249.5973967111111,RAI
1,284.73956911733137,283.2802991740874,RAI
2,174.1123178498277,176.7783522239744,VER
3,163.47008506389201,161.53010305741498,RAI
4,259.6621216,256.13247812871134,RAI
5,275.33842229526715,271.01239109838235,RAI
6,233.553624544,235.38549577733986,VER
7,207.0642310181695,206.3842246101235,RAI
8,164.95899654965987,161.3595454934594,RAI
9,220.74372692546757,225.8750006153846,VER
10,271.24325424761906,271.01016238504627,RAI
11,133.67001242424033,133.5120403067047,RAI
12,216.64014606987436,214.8268232662271,RAI
13,278.35479057414966,276.14940479999996,RAI
14,299.17828951578946,297.02678580571427,RAI
15,305.53636911238095,304.87687504,RAI
16,242.6845228312381,241.17893724295826,RAI
17,130.09848273971312,130.405020272894,VER
18,127.39687796069963,129.99437080774427,VER
19,118.80030932227494,122.96462984029935,VER
20,227.16664952144532,230.083332608,VER
21,253.7528987826087,258.9773879795743,VER
22,236.8107231058349,239.5167208284637,VER
23,217.08155182275016,214.68884144761904,RAI
24,137.0385676948276,138.99919694998243,VER
