Minisector,SAI,ALO,Fastest
0,252.69485496712636,252.1867953643435,SAI
1,211.68066539647236,214.16069996744932,ALO
2,202.69096961828848,204.68523235178128,ALO
3,254.09625366627517,260.12492657700653,ALO
4,271.2286326631218,274.73984689132124,ALO
5,285.22914231248774,291.11460237799156,ALO
6,166.11499661744426,161.97733157599646,SAI
7,183.64501018574714,181.5431311309634,SAI
8,262.73239175944474,265.741633892987,ALO
9,285.1239427931164,291.57656109076726,ALO
10,295.0430817208215,303.05519927909063,ALO
11,298.2825397333333,304.92159539578546,ALO
12,120.11923981043573,113.96651951156352,SAI
13,183.89189930982565,190.33916646473654,ALO
14,266.1469484637723,271.9419179287642,ALO
15,288.7437474306851,295.44904444419996,ALO
16,297.27366703731053,300.8319245910463,ALO
17,187.39520545432023,182.3380194275953,SAI
18,220.70269026483544,221.43351695378536,ALO
19,266.5314495984271,261.8340246114731,SAI
20,159.58813070775454,149.82363048406816,SAI
21,151.06777138372422,147.35011638299798,SAI
22,218.88142173864776,222.71294593322227,ALO
23,239.57728549086067,224.9791028443055,SAI
24,156.17952892663885,162.92961290248584,ALO
25,225.3697412465257,,SAI
