Minisector,OCO,SAI,Fastest
0,298.67734055362706,303.7939278588573,SAI
1,279.92037037037034,285.1513888888889,SAI
2,171.32071414768342,174.4738020938632,SAI
3,199.14393936161616,194.68416676571428,OCO
4,221.73352863025158,221.33656543668113,OCO
5,266.7221666986667,267.52616669866666,SAI
6,226.90827808479096,230.38376336919538,SAI
7,208.11015646666667,207.38828143333333,OCO
8,164.2249009168254,165.84871004444443,SAI
9,173.37051366290598,170.64461603387036,OCO
10,176.1562812631579,179.0015767063063,SAI
11,205.06280356979377,204.69659462648073,OCO
12,237.45743996190478,240.57854987210885,SAI
13,164.89841383858985,164.95370335821713,SAI
14,244.28445885440556,244.0349079301646,OCO
15,271.56457141028574,277.03900936197505,SAI
16,265.122487493584,271.45102375619047,SAI
17,257.34221727665727,264.1246024956455,SAI
18,247.7558203823633,253.11712983703706,SAI
19,243.53731703363226,250.31582638392513,SAI
20,258.47500023466665,228.8590451839071,OCO
21,195.48539332387872,164.33817782676044,OCO
22,211.8634175849624,236.65376337414963,SAI
23,273.20523591587664,279.47310247763915,SAI
24,291.6198165904762,297.28666671999997,SAI
