Minisector,RAI,PER,Fastest
0,251.85190692763356,249.08804757505538,RAI
1,284.73956911733137,286.4496881777778,PER
2,174.1123178498277,173.63032283697478,RAI
3,163.47008506389201,161.2510479869633,RAI
4,259.6621216,257.3222449487528,RAI
5,275.33842229526715,272.585161005759,RAI
6,233.553624544,227.21671256263738,RAI
7,207.0642310181695,201.11723206641653,RAI
8,164.95899654965987,155.29266018748575,RAI
9,220.74372692546757,219.74437828500675,RAI
10,271.24325424761906,273.19022115555555,PER
11,133.67001242424033,129.86522148895642,RAI
12,216.64014606987436,220.58509101185166,PER
13,278.35479057414966,278.76636895238096,PER
14,299.17828951578946,298.59729193904764,RAI
15,305.53636911238095,308.4067575122601,PER
16,242.6845228312381,221.07460926493764,RAI
17,130.09848273971312,129.33147870398815,RAI
18,127.39687796069963,133.80324616492197,PER
19,118.80030932227494,118.71522461162994,RAI
20,227.16664952144532,224.81730830769231,RAI
21,253.7528987826087,253.36059091056669,RAI
22,236.8107231058349,218.56913434074073,RAI
23,217.08155182275016,198.35791724441006,RAI
24,137.0385676948276,135.3524835793385,RAI
