Minisector,BOT,RAI,Fastest
0,287.553081707563,292.7536416717087,RAI
1,136.2684770995889,127.19251673138412,BOT
2,155.52211814632577,161.4466203296163,RAI
3,223.8990559080015,219.4104203460807,BOT
4,167.38339763451478,159.34122528901324,BOT
5,245.47896719555692,245.55589945902088,RAI
6,225.00416789333335,219.08173631922585,BOT
7,138.1612749490196,138.63563000853298,RAI
8,235.12416602666667,239.35812442666665,RAI
9,277.2435112346717,281.20312466666667,RAI
10,286.45807386666667,287.48284379607844,RAI
11,151.9737194961511,144.9441415,BOT
12,220.56541685333332,226.91549570558718,RAI
13,270.65980878127954,276.4264700235294,RAI
14,272.75882202352943,259.31088112592596,BOT
15,105.50541804657988,102.37939831518158,BOT
16,218.5573684182224,228.47774576075523,RAI
17,271.27968516285944,279.38749913333334,RAI
18,293.1841148,307.4790075733334,RAI
19,304.5282937498413,323.45019362527967,RAI
20,310.9295771270296,328.4592686040816,RAI
21,295.0631298761905,294.1463568,BOT
22,157.24515371556672,152.61543743901692,BOT
23,232.5189359458854,240.48020693333333,RAI
24,276.56586178151264,286.9454479327731,RAI
25,287.14285714285717,,BOT
