Minisector,VER,BOT,Fastest
0,302.81042324208096,287.5964740166739,VER
1,320.9425540958153,296.88587275174604,VER
2,324.96913834505625,294.2758991192397,VER
3,190.7572188303069,186.04725828702794,VER
4,209.28034535863011,204.31072307588792,VER
5,205.26255249576374,207.72104783272388,BOT
6,264.7614975425246,261.2048496310135,VER
7,255.43011802905244,252.87846545664726,VER
8,210.01373869883562,200.41113966067826,VER
9,207.01931175423377,211.53297257094985,BOT
10,142.31887698215826,134.0409489010406,VER
11,195.28547883753723,207.25236568563233,BOT
12,182.86279717068064,176.27826526603394,VER
13,245.4992186088889,243.16363303687564,VER
14,173.9457192090476,175.73159957493195,BOT
15,232.29880832662528,225.83450751271707,VER
16,274.9499654995011,272.91575648447997,VER
17,279.2964865206349,274.3124088193407,VER
18,273.59921724836937,251.30460768866132,VER
19,256.5621184562186,242.15163799533127,VER
20,254.52126699089948,247.0923669034921,VER
21,255.71545048629588,251.79936290765755,VER
22,222.61687171868132,239.02257422423992,BOT
23,201.01702149334292,190.00281910822764,VER
24,266.5798073194805,262.0044141760095,VER
25,284.13250048,278.74666624,VER
