Minisector,PIA,TSU,Fastest
0,259.31056469960225,254.01202240815462,PIA
1,130.4513662348753,134.89304473936508,TSU
2,198.8840184152381,201.41626872898922,TSU
3,248.42780208586905,244.92215160090703,PIA
4,257.9486094177499,256.3753447253333,PIA
5,175.25995559546487,179.54631660003798,TSU
6,142.87795292536208,149.40053830970575,TSU
7,183.1948983103855,189.67067673043476,TSU
8,101.82980234772879,104.70949940991747,TSU
9,69.45099618545703,74.65098018307171,TSU
10,93.19021221136956,97.26188869256579,TSU
11,182.5957736182857,178.64851507070705,PIA
12,243.67084433886114,240.90974203271574,PIA
13,269.559938416459,263.123332114595,PIA
14,274.8040012994687,275.43116394050986,TSU
15,113.97275405609935,107.54046106903809,PIA
16,151.10136765835048,148.59855546832222,PIA
17,184.77410980078227,182.8181285429841,PIA
18,201.84922968055002,197.41392882554007,PIA
19,205.4022228454902,211.01617048,TSU
20,136.45800176488513,139.75927779592942,TSU
21,108.14458452653595,108.54567595193882,TSU
22,96.20420123716404,97.92984919955735,TSU
23,197.46995666240898,197.07636297599998,PIA
24,251.18051524155487,247.29048627257464,PIA
25,,260.838710861371,TSU
