Minisector,SAI,RUS,Fastest
0,292.7017977331966,296.1496685717749,RUS
1,303.31094717018635,299.36093753333336,SAI
2,278.5200599982222,276.1224825596922,SAI
3,104.5800847575543,106.80978351776531,RUS
4,214.9510803697598,217.9872219260451,RUS
5,268.6117906160951,272.1172321968254,RUS
6,211.38907978748455,210.38271252199547,SAI
7,154.90140896235872,156.37283192975053,RUS
8,194.55349104544763,189.35824688536798,SAI
9,213.8298666452353,200.6632175335363,SAI
10,113.98055691754881,117.12760185848147,RUS
11,226.20185363337592,228.5933335425108,RUS
12,111.34136303612358,115.37374598287141,RUS
13,217.83034665467773,216.5382084850796,SAI
14,272.9078847022827,272.76105846876936,SAI
15,222.09605263248645,221.52712140048374,SAI
16,190.12560934571428,173.70784903490605,SAI
17,234.9819247153439,233.1048918323257,SAI
18,192.6888721575673,202.46902245466686,RUS
19,183.80253561151858,173.48627938215844,SAI
20,262.6583915801278,262.5078756277748,SAI
21,290.2164440482801,291.8967418546366,RUS
22,165.418644815365,175.40641624465042,RUS
23,204.41087086897122,198.26195486492682,SAI
24,271.6428623632874,271.5551965853416,SAI
25,285.78363346761796,287.9166670222222,RUS
