Minisector,HAM,LEC,Fastest
0,282.62105295584416,284.2882060882563,LEC
1,123.00481534471025,112.08921616653497,HAM
2,151.82236711172396,166.77141153400402,LEC
3,217.56951280926717,205.30559220184182,HAM
4,160.22041236038092,168.2776812049788,LEC
5,243.05374182178525,244.03542402663862,LEC
6,206.14343392964838,186.79072478018585,HAM
7,133.2486547343942,139.81776116164465,LEC
8,229.67523151795854,238.45474196919193,LEC
9,269.29922949915965,273.54394375330367,LEC
10,278.1442634843367,273.50925626912715,HAM
11,145.9693363808964,147.3958869908304,LEC
12,215.71751364487108,223.021246542781,LEC
13,266.47980985333334,268.378935498836,LEC
14,264.52478522054156,248.65357463288888,HAM
15,99.82928825915236,100.10867725851604,LEC
16,218.46207468310936,221.69270970771072,LEC
17,268.4163551497587,273.1226790806857,LEC
18,291.10500154607297,294.546430272,LEC
19,300.15447750316883,305.637302501813,LEC
20,306.36180610960423,311.12421112696546,LEC
21,286.7538095358396,266.94616509644055,HAM
22,146.1422740929185,152.1862025206398,LEC
23,230.5671102926407,236.71986168988184,LEC
24,274.62042971109406,279.52853214877325,LEC
