Minisector,NOR,SAI,Fastest
0,291.6560317647452,284.1770969025451,NOR
1,160.32948720179385,150.30020821966835,NOR
2,161.86212728957534,156.17144552085048,NOR
3,242.16718074829933,241.95865671143892,NOR
4,263.8439014421211,263.0221173625859,NOR
5,243.06794479177145,231.41529246820863,NOR
6,212.76715344808625,205.31872395634954,NOR
7,143.87759967532182,139.68703699870417,NOR
8,225.9912351541195,227.24801913551022,SAI
9,298.4259583670408,295.07372417922585,NOR
10,322.78619625574424,319.7038397019608,NOR
11,323.013837449266,320.4425773929822,NOR
12,315.28897467915516,313.7951339085714,NOR
13,310.92537790075187,309.7942933566644,NOR
14,126.88892510833286,130.92633693439464,SAI
15,117.5039051461619,119.73345643295123,SAI
16,97.7324261022334,100.00778441845009,SAI
17,243.08869470158433,234.63411642828282,NOR
18,304.53501288314624,301.68890989314787,NOR
19,325.84803313662337,318.87160391332765,NOR
20,328.3413827419827,316.57838546666665,NOR
21,323.14664946262627,314.87368424421055,NOR
22,128.0227054106298,116.81596924271115,NOR
23,198.83322714242013,197.98463503612365,NOR
24,276.47344390115245,268.58551365484425,NOR
25,,277.1118010216683,SAI
