Minisector,NOR,ALB,Fastest
0,272.86776714438355,270.0180205203021,NOR
1,292.0264387365086,289.2386081079039,NOR
2,300.33496243775477,296.98177066666665,NOR
3,127.91572275231522,130.27870083109622,ALB
4,192.04383046283908,193.3433580697059,ALB
5,259.7367348714276,258.2981968374712,NOR
6,138.8047489985761,144.91102894813267,ALB
7,204.03018732875714,201.96003920183588,NOR
8,261.2729010074404,257.8691989182867,NOR
9,283.1270459280107,281.3487368740083,NOR
10,234.25051442429304,234.84787594894314,ALB
11,181.32131415071888,181.2664001844017,NOR
12,189.0463327474189,189.72611830536945,ALB
13,144.64252892361833,146.53206020148113,ALB
14,168.4194356527258,174.55881749496925,ALB
15,156.05691819564953,161.83691820635576,ALB
16,218.41536453207928,212.50245641516247,NOR
17,238.74696035533208,238.29393731680352,NOR
18,238.39812037006124,238.45053118656102,ALB
19,245.78525442353134,251.56266591742036,ALB
20,142.82406286046432,142.8506937748023,ALB
21,132.37206992718018,141.25273998093078,ALB
22,170.74086877396877,166.38481224183812,NOR
23,148.60445432611758,150.563461517029,ALB
24,232.53196882359373,225.08118523343379,NOR
25,,257.1166677333333,ALB
