Minisector,VER,OCO,Fastest
0,278.07342382423815,273.66622530934745,VER
1,293.40517076047706,291.9568096082822,VER
2,288.50716644977774,288.64678577980953,OCO
3,185.2457295858079,186.70110558428684,OCO
4,128.48371273105846,125.89678585098184,VER
5,241.83968613604995,237.41207771809522,VER
6,284.1154711586092,279.44366695630026,VER
7,287.7578516923077,286.5961540923077,VER
8,169.2818773561483,180.68027803090297,OCO
9,144.8044052565779,143.29587789635204,VER
10,253.2952613095546,246.86666613333333,VER
11,284.771000192,281.10526989949653,VER
12,294.6134999893333,289.14372533333335,VER
13,288.019283606613,272.46339268571427,VER
14,299.8918404444444,294.0762646539683,VER
15,298.58802062222225,296.91996558095235,VER
16,258.8636277280788,254.141270455873,VER
17,234.4218825496774,226.1947702514702,VER
18,285.2332537333333,277.7497791717813,VER
19,303.2615942956522,300.56406244444446,VER
20,300.6478330026667,301.94626160592594,OCO
21,232.83640919040232,231.82872066190475,VER
22,260.50854631292515,253.6256289740713,VER
23,142.76350124965356,141.09737687644585,VER
24,217.02543983857603,208.24816072156864,VER
25,,253.02387892767,OCO
