Minisector,PER,RUS,Fastest
0,289.5539568664953,304.13377677294363,RUS
1,297.9581348368254,315.13244053333335,RUS
2,302.2332421853109,321.6064897831339,RUS
3,303.295312647619,316.6509613538461,RUS
4,200.4455977928109,198.523974591603,PER
5,101.5643731168753,106.38577589416076,RUS
6,203.3904619950357,214.4023009204146,RUS
7,255.22438495002226,259.60413302507106,RUS
8,279.7882814,283.6855560838095,RUS
9,287.21889062603174,289.36587836988264,RUS
10,153.3325166941004,152.0235117890701,PER
11,172.69594438446137,187.4538048092516,RUS
12,242.59756753983842,244.6395835005291,RUS
13,236.26018471111112,235.39159525801364,PER
14,154.0106942408528,158.25397873122589,RUS
15,218.3720715355434,222.48472274850087,RUS
16,261.52708378095235,263.9243948373728,RUS
17,281.2686844309294,283.5923210849812,RUS
18,292.0681429648743,294.44187944489795,RUS
19,294.9050001066667,297.5990282740066,RUS
20,280.8477772088889,279.71171746666664,PER
21,154.92553949504662,156.18421394834428,RUS
22,208.9902780952381,215.2356666603777,RUS
23,257.46789388649677,261.1002458352941,RUS
24,280.53102670476187,285.3384110552651,RUS
