Minisector,ALB,OCO,Fastest
0,273.54634493718225,273.66622530934745,OCO
1,290.4065238064762,291.9568096082822,OCO
2,289.09102907529603,288.64678577980953,ALB
3,197.63736962882882,186.70110558428684,ALB
4,124.14276575644733,125.89678585098184,OCO
5,238.78231674592934,237.41207771809522,ALB
6,280.63303602637365,279.44366695630026,ALB
7,287.711666688,286.5961540923077,ALB
8,187.43020713333334,180.68027803090297,ALB
9,141.7199871585785,146.16131728865196,OCO
10,249.69367511926134,249.76795928275862,OCO
11,284.40171740952377,281.5494806954764,ALB
12,296.02383338666664,288.2841118769231,ALB
13,290.94023808609523,272.4458331259259,ALB
14,299.0706256870897,294.88268825396824,ALB
15,298.69023779961907,295.42983362438093,ALB
16,259.34735313156966,250.76611312446636,ALB
17,227.4114927849797,228.8664180144451,OCO
18,280.47090725245795,279.10226155885715,ALB
19,302.87142139431245,300.66149994666665,ALB
20,304.63888844444443,301.59383120592594,ALB
21,235.50097480564384,229.90762666190477,ALB
22,260.73459893333336,254.71241076717476,ALB
23,140.90172801386288,139.1704240595911,ALB
24,213.2195225308337,215.25799818618125,OCO
25,255.81250133333333,,ALB
