Minisector,RUS,LEC,Fastest
0,296.4725212482951,321.8195388016133,LEC
1,236.85590155767193,221.72922465190084,RUS
2,135.12382603096057,135.11694530579894,RUS
3,216.22618672620078,219.27928083591837,LEC
4,259.17110397327355,263.4323903961735,LEC
5,283.4104980711111,293.5385547266144,LEC
6,293.1325000147301,311.85152721272726,LEC
7,270.9332217697371,266.36479629634084,RUS
8,173.7376395986134,161.54010485739047,RUS
9,234.7334543130326,238.64852592429835,LEC
10,265.90986135111115,273.74793948658515,LEC
11,257.62443995597886,251.0919258152381,RUS
12,209.00121010250072,192.99130903096165,RUS
13,129.40210085506143,112.58074813167514,RUS
14,123.24537219919824,121.76127423345983,RUS
15,159.4290864807895,144.7678766796414,RUS
16,121.46489811782067,136.11605301207527,LEC
17,231.86386151762576,237.4135758707584,LEC
18,176.55280945218533,163.19674563087673,RUS
19,163.14512389468564,174.07957341384875,LEC
20,244.63542271435622,246.7744899998938,LEC
21,269.94262298939725,276.53373924726156,LEC
22,283.42169328507936,299.3855938040673,LEC
23,291.8290692886003,316.7565278933333,LEC
24,295.72209574331026,326.8658603746032,LEC
