Minisector,HAM,NOR,Fastest
0,297.7533770178958,314.4251112581818,NOR
1,225.03533011674662,206.98527589622333,HAM
2,231.41943866920926,224.99840095980466,HAM
3,277.29851057012576,281.4485073308119,NOR
4,247.73490686788767,233.00168905295237,HAM
5,130.5431826382074,125.15662691696895,HAM
6,212.74547124370116,212.7635672916787,NOR
7,262.2047462460229,262.86725662211177,NOR
8,254.56326635267826,237.82944902566362,HAM
9,244.2700701465819,235.90102427555556,HAM
10,274.57708633293123,275.1272847004444,NOR
11,290.8835490457143,289.8501682129839,HAM
12,297.698206054321,307.3697077201475,NOR
13,300.9802400875176,320.80455130728774,NOR
14,296.2762999707268,325.35845962828284,NOR
15,258.70694973308593,262.05085355682536,NOR
16,249.32064895629716,247.58100228565752,HAM
17,278.3891690057836,286.5282393538756,NOR
18,289.97823529809017,302.865266141066,NOR
19,159.10792780021973,155.82535301058203,HAM
20,212.0191228160031,209.30029251392415,HAM
21,204.7820179439653,179.62250190640324,HAM
22,136.55771370105015,145.045471456994,NOR
23,243.95849424241646,243.85026004962614,HAM
24,280.3081356504473,296.9110427247473,NOR
