Minisector,ALO,NOR,Fastest
0,298.76567464126987,333.37545837817675,NOR
1,281.17429769701823,308.7170488242424,NOR
2,176.38876433354972,168.81771784623433,ALO
3,200.3796719298183,196.65000053333333,ALO
4,218.73516846202875,222.1749775933879,NOR
5,264.9682997900763,265.01666633846156,NOR
6,235.1696080995966,233.42397008506347,ALO
7,208.42929263838383,208.85738750071704,NOR
8,182.23384347378547,179.10708706010513,ALO
9,154.94888046999748,161.6903653790626,NOR
10,189.57379153704002,188.6448575813046,ALO
11,189.7917952461601,198.4670060385992,NOR
12,189.76334138076226,241.7128305314205,NOR
13,166.56729869253877,167.15673268867744,NOR
14,247.03088854057498,241.52493079794462,ALO
15,272.25094104863354,274.37699968,NOR
16,261.6848755510044,270.6371032402356,NOR
17,255.23831990937262,262.24550016,NOR
18,249.9977057800935,249.3183757469971,ALO
19,241.9404772190476,252.17077659190542,NOR
20,260.50117490614406,256.26894791296024,ALO
21,189.57828812895187,216.96394762273792,NOR
22,224.4733688400325,195.79297639365132,ALO
23,274.2162689269841,270.9015875702394,ALO
24,291.6257125524969,296.5090490676528,NOR
25,297.3041674666667,304.86428556190475,NOR
