Minisector,PER,GAS,Fastest
0,261.46597202962965,254.77754554074076,PER
1,134.16935360000002,128.83396971077792,PER
2,195.45545875287166,200.95000175238096,GAS
3,243.84188928158224,248.80800053335696,GAS
4,261.4979365079365,261.5173414806349,GAS
5,191.53226687012204,178.36772957441812,PER
6,148.92074796190474,142.9623373608642,PER
7,186.02651515151516,186.57983217628416,GAS
8,105.30040207337025,104.67042133726463,PER
9,79.52001840756306,78.45897922501088,PER
10,96.28343097919326,94.640934723183,PER
11,178.02735494492754,183.16634218528137,GAS
12,243.65882352941176,248.45395792002319,GAS
13,266.89887409771484,270.9733340444444,GAS
14,280.4488888888889,269.2517024166291,PER
15,120.83138022769175,112.96694057659211,PER
16,137.6288386920897,144.6798746442021,GAS
17,198.5515873015873,191.7848386340999,PER
18,193.55956978787557,197.6798832714404,GAS
19,226.3842105263158,211.3143752533333,PER
20,134.16032758634162,132.65001031184184,PER
21,122.93064591325054,115.96823141999636,PER
22,88.69168099656389,90.8406132016515,GAS
23,187.46507936507936,195.70233242476257,GAS
24,243.48926505418635,249.69019672380952,GAS
