Minisector,LEC,GAS,Fastest
0,317.65320198545453,316.99981842025124,LEC
1,323.98892956362437,331.7627814496241,GAS
2,319.8468597095065,334.4479113114638,GAS
3,189.27131140063491,151.6740464430252,LEC
4,128.74994520335719,133.09819129772782,GAS
5,261.2384083774359,260.20199365016106,LEC
6,297.3724850638095,296.43870658181817,LEC
7,307.3798958114286,311.2855120320452,GAS
8,266.54012935454807,254.3949168092517,LEC
9,145.80096762214654,143.9019099214073,LEC
10,212.8479357258835,199.84559847811684,LEC
11,219.08106207726206,200.71876304887547,LEC
12,193.1081411582404,179.9350593955396,LEC
13,264.6811850727562,266.9032771756999,GAS
14,300.54194674873855,305.86474765452624,GAS
15,312.4268181006699,326.76971690361904,GAS
16,252.07633061189162,241.52467833621373,LEC
17,207.2245198222054,195.44794906031746,LEC
18,271.77651009015875,268.3177402781649,LEC
19,304.11475231117794,304.5046670247619,GAS
20,312.83246692250464,320.72598662736846,GAS
21,294.03145371428576,295.48194820444445,GAS
22,207.99302058653265,190.9278916924822,LEC
23,263.08706487265306,263.2051313718247,GAS
24,301.2408698224738,300.572669894631,LEC
