Minisector,ANT,HUL,Fastest
0,320.17039247686273,309.09458876453203,ANT
1,323.9419358127242,303.61039950145755,ANT
2,161.66640293208158,163.1046874984795,HUL
3,159.3477954855914,154.95796255142955,ANT
4,194.22609011343448,197.54646215555113,HUL
5,149.63467008977483,145.86017653355455,ANT
6,206.2544232442081,196.68285324666442,ANT
7,272.2895687169925,268.0741356629212,ANT
8,289.70368407578945,284.61508983956287,ANT
9,278.7137072643386,274.63611844033613,ANT
10,237.6182143674459,232.06083203734858,ANT
11,247.2904793457733,234.47724892230576,ANT
12,225.8861210427211,221.77635220136057,ANT
13,185.74964730166656,184.7095570205701,ANT
14,138.70634719798144,132.5514193815089,ANT
15,133.41608617363485,128.9464376401006,ANT
16,197.29916379171726,184.7382588409448,ANT
17,269.4371289502786,267.43074250222224,ANT
18,198.93589049263156,206.69350497061043,HUL
19,110.09296360173407,111.44074312871297,HUL
20,206.67161573714284,205.79154753302282,ANT
21,183.42452413714287,178.393104967033,ANT
22,245.73947459368424,243.42635891186882,ANT
23,278.96621904792937,277.64986882993196,ANT
24,310.16656978225956,302.973786496,ANT
25,323.76500096,310.0597223111111,ANT
