Minisector,OCO,STR,Fastest
0,267.8430506453094,273.26289717772005,STR
1,116.63433318811231,119.69908951017412,STR
2,156.3033345242407,152.7315838035387,OCO
3,192.64090482659876,207.04113251335173,STR
4,162.67193618345866,155.55394438398636,OCO
5,240.60387680211858,237.96740336922304,OCO
6,198.52038801995337,207.6605905620194,STR
7,132.27069478948673,132.83006540739598,STR
8,228.60014848588676,223.4721893788085,OCO
9,269.79387378637057,270.3038985930159,STR
10,275.1292520272428,273.1894958996825,OCO
11,142.04312163900025,139.9543415339652,OCO
12,214.5637607716458,216.8895668647619,STR
13,263.2059827498818,265.2644373688889,STR
14,258.9163632780247,257.88796262772485,OCO
15,99.76794341654511,98.95649436045652,OCO
16,214.8074648050672,218.29017677142858,STR
17,269.672939202963,269.88245369644,STR
18,291.92252165662325,290.20718547324674,OCO
19,302.6074079176875,301.6810536507597,OCO
20,308.8187407454815,309.0017440511489,STR
21,278.58266945169044,259.8896124919786,OCO
22,145.97711971914853,137.64280996812042,OCO
23,230.90241343154435,227.29817450590477,OCO
24,272.06433136252775,274.6513842478153,STR
25,284.0888888888889,,OCO
