Minisector,NOR,SAI,Fastest
0,271.57187403741193,268.6526947984762,NOR
1,287.60678117250245,290.82692717619045,SAI
2,295.419397952,295.5599577877458,SAI
3,128.56710142216315,128.91130173422678,SAI
4,192.22791240609732,194.74627166344683,SAI
5,247.6819180515222,245.233316589648,NOR
6,134.46374036571427,131.1327654848065,NOR
7,206.22241060834767,206.75926129987886,SAI
8,257.66783782796676,262.28294289457,SAI
9,278.893768368868,281.50759261037035,SAI
10,230.8208449197204,231.8069170920635,SAI
11,172.52365536983103,175.0393727441002,SAI
12,191.83877444752886,198.44414252024407,SAI
13,134.20898674105248,144.55187416544416,SAI
14,174.18853692315048,172.1422978238981,NOR
15,160.11776214697394,159.35624592491163,NOR
16,222.30989492894662,223.55756735777433,SAI
17,233.45731553686858,233.41165525006804,NOR
18,239.6619171496705,240.43153250573707,SAI
19,224.9546990125177,231.14134079387424,SAI
20,145.8923967439316,149.45417416178196,SAI
21,126.79786912994788,125.80095871866394,NOR
22,172.603178320112,172.13207098876845,NOR
23,154.28133458582695,152.742756099449,NOR
24,230.8654268903896,229.9225806219896,NOR
25,256.9833344,,NOR
