Minisector,ANT,BEA,Fastest
0,270.30142777563475,272.1816341714286,BEA
1,255.01788283614619,247.54717790970787,ANT
2,126.59753954424242,119.23609090094861,ANT
3,166.788855968354,168.91591455904762,BEA
4,203.29896261946448,192.04575363202477,ANT
5,192.93954636478097,198.36383854314573,BEA
6,262.65699150169274,263.60797779963457,BEA
7,286.708947671579,285.6932021894737,ANT
8,249.76739973904762,233.0771873223182,ANT
9,150.53654248485176,148.053785053287,ANT
10,122.26515036249172,120.78326094336177,ANT
11,161.23026454089236,161.91958105333262,BEA
12,238.4475506955665,247.64156770575963,BEA
13,165.93822763754824,158.41620155852286,ANT
14,147.3262667733432,139.88557831075727,ANT
15,109.94062069907454,107.27997290066966,ANT
16,210.72630565939886,217.90368957050507,BEA
17,240.85709409158005,241.20173017008406,BEA
18,118.99511566788358,128.84997504797383,BEA
19,237.41812022194617,240.99493596250915,BEA
20,271.89768392689774,275.2015433038961,BEA
21,218.00365973278912,207.03976938275093,ANT
22,140.62462150763432,147.1671178303748,BEA
23,215.22518882763922,225.862062122206,BEA
24,229.8802269372544,234.17040709942282,BEA
25,256.7666645333333,259.9954571636364,BEA
