Minisector,ANT,ALO,Fastest
0,270.30142777563475,272.75116154434784,ALO
1,255.01788283614619,238.3336470420052,ANT
2,126.59753954424242,125.31371942984447,ANT
3,166.788855968354,164.64366558792977,ANT
4,203.29896261946448,196.32963463710576,ANT
5,192.93954636478097,195.51758939809523,ALO
6,262.65699150169274,263.4139812207792,ALO
7,286.708947671579,283.9734815007856,ANT
8,249.76739973904762,217.5153883762963,ANT
9,150.53654248485176,146.70717075455386,ANT
10,122.26515036249172,120.47616736313903,ANT
11,161.23026454089236,165.74471459068482,ALO
12,238.4475506955665,245.34108852567783,ALO
13,165.93822763754824,149.41765204111485,ANT
14,147.3262667733432,150.00180737870332,ALO
15,109.94062069907454,98.21159587154875,ANT
16,210.72630565939886,229.82282207122375,ALO
17,240.85709409158005,234.39042806962962,ANT
18,118.99511566788358,128.58353955755055,ALO
19,237.41812022194617,240.0214545659237,ALO
20,271.89768392689774,274.0273261801673,ALO
21,218.00365973278912,196.42689218741273,ANT
22,140.62462150763432,149.89405083777595,ALO
23,215.22518882763922,220.08101082999178,ALO
24,229.8802269372544,234.15015488935066,ALO
25,256.7666645333333,,ANT
