Minisector,PER,NOR,Fastest
0,301.8379700522637,310.83936685507626,NOR
1,235.6408148024593,231.92588043326984,PER
2,130.23524491928143,125.85373560166941,PER
3,240.27523485521297,231.09735853559238,PER
4,190.36103622711622,190.95921449675407,NOR
5,239.0869839826601,240.65438880687313,NOR
6,228.34583774265968,226.3796831721495,PER
7,251.85205317902776,252.46676853018064,NOR
8,288.8295206254101,278.23292228053333,PER
9,202.1219533622857,213.4932762268398,NOR
10,201.28629494070768,202.5380225613492,NOR
11,271.45575131026726,269.4616176944485,PER
12,209.82355054730158,205.35472382894753,PER
13,247.8936082864397,240.60601899353284,PER
14,292.0035922577226,288.2119452908975,PER
15,308.1640708864548,308.8303024272682,NOR
16,311.13074221954884,308.2419710261472,PER
17,233.21523606185886,221.47349637078676,PER
18,269.80823626373626,264.1857924865682,PER
19,298.5317615955776,297.37267568482923,PER
20,313.0097865704006,316.96176240028825,NOR
21,313.9217843948052,315.41156680076193,NOR
22,150.88723235287418,141.29961440774397,PER
23,228.9064111233221,233.0792730820063,NOR
24,285.0985097869597,291.04673432137565,NOR
25,295.8750016,,PER
