Minisector,HAM,LEC,Fastest
0,294.3531891489079,295.2349758139858,LEC
1,207.04297003583358,202.10764085795222,HAM
2,230.92705841112416,228.77390767266456,HAM
3,275.16778266565143,276.1194706966263,LEC
4,230.3906457967113,243.07551361328677,LEC
5,128.3521059352471,125.356807107367,HAM
6,215.51735263380945,206.3778439250858,HAM
7,260.30233910955945,258.396921409573,HAM
8,207.97146448577183,210.04879670380913,LEC
9,207.70084494245674,209.550523409122,LEC
10,265.06037910218254,267.98456512448007,LEC
11,214.49006526116082,219.49336265630205,LEC
12,183.00436221490932,170.5726613574282,HAM
13,261.4317746257148,261.389387031551,HAM
14,281.2360319194027,281.4165457955268,LEC
15,264.4774304990999,254.9897580163798,HAM
16,247.35442374933837,238.02341969910051,HAM
17,274.9502535996356,270.57898403535967,HAM
18,285.99726450988516,284.4682863940813,HAM
19,180.4853997914001,179.44017343619214,HAM
20,214.06149306278317,211.45691212590597,HAM
21,171.19297318967816,191.3619581774988,LEC
22,145.75895741954264,134.46101783636516,HAM
23,243.90750748956887,235.00776775208922,HAM
24,282.2447900353243,281.298412900368,HAM
25,,290.81666666666666,LEC
