Minisector,PER,STR,Fastest
0,291.8805278734288,287.676326624462,PER
1,299.70472746666667,289.9052789683185,PER
2,164.7868856979581,166.58317829111544,STR
3,223.9550864529323,220.24834233101146,PER
4,273.234751325042,270.815873015873,PER
5,293.08037542457913,292.3165501412987,PER
6,303.0314627256565,299.8572374886181,PER
7,175.7608861197616,181.6024824646733,STR
8,126.01764359560609,125.3491350515841,PER
9,247.51591458861074,247.26245637613604,PER
10,284.2280849662337,282.39711597755434,PER
11,297.30808257212124,288.90420385238093,PER
12,148.5958773113473,146.18348316105426,PER
13,191.05614014894016,195.2658623788034,STR
14,256.5513513812387,255.54531223064043,PER
15,208.38352224620212,209.79156264607636,STR
16,214.87565966101207,219.2512795319467,STR
17,215.48045461478458,213.88742961995462,PER
18,240.54546292664998,241.5264989177489,STR
19,275.21556224560146,276.84868942576105,STR
20,291.30080570687966,291.7186763545098,STR
21,261.7788755241099,262.18748689906585,STR
22,223.10624326894924,223.82555750205748,STR
23,204.69136616847888,200.553856178882,PER
24,265.21552557825055,260.5340569438479,PER
