Minisector,PIA,RUS,Fastest
0,259.31056469960225,262.69757360793653,RUS
1,130.4513662348753,135.96836787736305,RUS
2,198.8840184152381,202.61573164431078,RUS
3,248.42780208586905,247.98272033946205,PIA
4,257.9486094177499,259.66557259186817,RUS
5,175.25995559546487,177.0890441884104,RUS
6,142.87795292536208,145.28078313071194,RUS
7,183.1948983103855,187.1947799393741,RUS
8,101.82980234772879,102.6690269618011,RUS
9,69.45099618545703,74.09782982932835,RUS
10,93.19021221136956,98.47716817015116,RUS
11,182.5957736182857,185.7596514934244,RUS
12,243.67084433886114,248.33357562380954,RUS
13,269.559938416459,270.8766828923077,RUS
14,274.8040012994687,280.4851531755102,RUS
15,113.97275405609935,105.15978845257958,PIA
16,151.10136765835048,149.31943471155913,PIA
17,184.77410980078227,199.14967008187136,RUS
18,201.84922968055002,191.54186632751933,PIA
19,205.4022228454902,207.61573046247617,RUS
20,136.45800176488513,134.94710383209875,PIA
21,108.14458452653595,100.37670831348079,PIA
22,96.20420123716404,102.53336748100075,RUS
23,197.46995666240898,205.7722027220779,RUS
24,251.18051524155487,254.26941623428573,RUS
