Minisector,PIA,HUL,Fastest
0,299.2296970354545,305.549846382399,HUL
1,305.6160056532383,322.51618420266664,HUL
2,308.62339573048126,332.1554896870799,HUL
3,302.19914682539684,309.95626845333334,HUL
4,172.91500081574605,160.9335234918927,PIA
5,215.51718338686817,204.1394876779221,PIA
6,245.51820669018633,234.66152955847167,PIA
7,271.15977745775325,268.859847825989,PIA
8,261.3758834527442,243.96732797575757,PIA
9,169.49386663449354,155.39181742540882,PIA
10,224.8332769341082,221.52602532288387,PIA
11,135.00481511698095,122.41387053645066,PIA
12,232.85445702216177,232.59666807926902,PIA
13,181.08650312622333,177.8286846216322,PIA
14,221.57684891927275,217.81629553421845,PIA
15,249.26826578434898,240.91888621978126,PIA
16,270.74850894857144,269.97132533391056,PIA
17,288.419704892506,301.6932950857143,HUL
18,157.9105687597279,146.69784485841268,PIA
19,179.11075612164257,169.66264917425684,PIA
20,143.52062682617853,135.34585724163708,PIA
21,236.037381277308,235.8452431985489,PIA
22,267.7938158135338,264.68951337202685,PIA
23,258.0944134433417,250.45861390406927,PIA
24,279.9615820746572,283.33850199823166,HUL
