Minisector,HUL,KVY,Fastest
0,276.58203174015955,275.86728559483686,HUL
1,295.81086846245455,294.2444477127281,HUL
2,294.06213161126175,289.70301994624845,HUL
3,187.24293529128292,179.35244975990733,HUL
4,123.27955691886905,128.00854487601248,KVY
5,238.859811372043,239.43858554718946,KVY
6,284.59656874508613,280.9157941181609,HUL
7,290.36746802051283,284.96968864468863,HUL
8,179.19194959070674,171.87567435556988,HUL
9,141.46638034051148,142.31827741138483,KVY
10,251.7498623079108,251.68025921124072,HUL
11,287.0564842431952,284.84965430138277,HUL
12,300.5828158767175,294.50599995733336,HUL
13,286.869333248,281.4969522529524,HUL
14,300.62132906666665,297.6363997866667,HUL
15,306.2929131021568,301.1100714710083,HUL
16,259.7816980571428,250.9011847349111,HUL
17,223.2378197736648,222.9062445522036,HUL
18,280.2974510639495,280.68580942216516,KVY
19,303.78027777777777,302.4680445848695,HUL
20,301.5163461505437,307.1661495784679,KVY
21,225.86650052967914,219.89554845172012,HUL
22,255.12294826773964,256.62241327816093,KVY
23,138.2681047943879,136.93956982473796,HUL
24,216.04081657703293,216.13968299254853,KVY
