Minisector,VET,OCO,Fastest
0,237.7417690810333,230.10547792038759,VET
1,286.99526535757576,288.00334437732425,OCO
2,299.90884353741495,304.55912685714287,OCO
3,305.6155410847494,310.8763813085826,OCO
4,280.8042660713023,275.1916695111111,VET
5,169.65067222593183,168.95587219905553,VET
6,264.1051455366588,264.0620893218775,VET
7,284.7706440242424,284.1866071203463,VET
8,219.66172942562525,206.1999592415361,VET
9,219.9605235755102,222.2059939755102,OCO
10,193.54259204582397,178.77513312651072,VET
11,226.80531630344828,226.02420504126985,VET
12,208.52713475655963,198.238656632973,VET
13,221.47033987699706,210.46360455805578,VET
14,230.82067919012346,220.54755464144444,VET
15,182.5308869573014,174.9856729362848,VET
16,249.15288467692307,248.6747028529254,VET
17,294.17611242102913,297.19243431025825,OCO
18,310.61719296,314.9842520621554,OCO
19,308.042326235889,301.2899917836565,VET
20,130.0148198429421,125.95087335702742,VET
21,166.96654493440224,156.7555578041584,VET
22,157.3028860147174,150.0217381050155,VET
23,209.46427622465808,200.86597373430635,VET
24,145.83221766991144,141.99976040098755,VET
