Minisector,RUS,BOT,Fastest
0,274.15214708844377,270.071541341498,RUS
1,308.4852278630065,300.57305934225775,RUS
2,322.9107841172747,319.97805647999996,RUS
3,332.69482970151176,331.8876963463741,RUS
4,337.8903569980952,339.55831329862434,BOT
5,340.8097833943178,341.7695436952381,BOT
6,192.64638350513562,205.39022294233766,BOT
7,105.76639471403917,102.19194707156902,RUS
8,188.33887368989153,176.60257752029304,RUS
9,262.4194090321085,264.68633361707157,BOT
10,297.6313982501842,296.9792321012987,RUS
11,170.52137027094693,149.70176146580644,RUS
12,97.78186513936939,92.68209313270313,RUS
13,123.22249855869319,114.21741500236443,RUS
14,221.3102455222654,215.4467627412582,RUS
15,186.82798563747787,175.82321118969392,RUS
16,227.33190281544253,214.84178908610974,RUS
17,181.58203217428573,166.239181857573,RUS
18,240.77537076210524,233.19149214882233,RUS
19,280.6857785566955,281.5077545972288,BOT
20,243.38844653116428,236.272843992658,RUS
21,144.0283307176719,135.6209402160152,RUS
22,95.67394539117862,95.30072323118189,RUS
23,127.27766929563036,118.08546696561162,RUS
24,224.37289607111111,222.70320840475807,RUS
25,,253.4249984,BOT
