Minisector,PIA,HUL,Fastest
0,302.128556670295,303.458729556894,HUL
1,237.52739036991454,238.23440210566463,HUL
2,126.78739370205129,128.8503809711722,HUL
3,236.30344317988107,239.9076745714224,HUL
4,193.67421167389782,189.73782079766428,PIA
5,250.16349373088434,245.90991518210623,PIA
6,234.37433602153754,230.3611928319805,PIA
7,253.90082086095236,255.3290508861374,HUL
8,291.41839935464714,290.5630261303406,PIA
9,204.4622433401803,210.99497770538045,HUL
10,203.98679846373759,206.31927032350941,HUL
11,274.92345687515154,274.54025651713204,PIA
12,218.86932661469734,214.97724957802473,PIA
13,257.04772291746343,250.0686128356128,PIA
14,292.91717932068116,291.5088435252623,PIA
15,307.37201534406927,306.7775571106629,PIA
16,305.35221360949686,307.09953720882294,HUL
17,207.85528911238097,210.11493287946718,HUL
18,262.0441611052237,261.7442665882712,PIA
19,295.00649822877784,294.19836448848486,PIA
20,309.64888414451445,308.8621088435374,PIA
21,307.126313068323,311.18968668380637,HUL
22,149.76641914926316,154.23292920225074,HUL
23,233.62241292272964,233.17174898387302,PIA
24,286.12119175005347,285.10119076952384,PIA
25,297.39000064,297.37500032,PIA
