Minisector,HAM,PER,Fastest
0,271.04141472986,270.1366549471861,HAM
1,249.73970533554268,257.60300612714866,PER
2,124.58036117825503,119.29852187006854,HAM
3,175.83932379909936,154.6030102248112,HAM
4,200.813192503343,193.64032353921053,HAM
5,198.76083217934064,186.6029105043897,HAM
6,264.16385618217237,264.26231634465086,PER
7,286.25505738386323,284.45385015734917,HAM
8,234.88474567063164,230.0644514989011,HAM
9,149.39365033133186,140.1119604320316,HAM
10,118.95664355838258,111.76050389129361,HAM
11,149.51837769420953,155.03036871257333,PER
12,243.8965771750523,242.43961015411253,HAM
13,158.69037526408013,144.5182160067502,HAM
14,149.1027325092495,151.02000527837015,PER
15,109.0992811330426,111.55045919151779,PER
16,220.6960269377778,228.39960487256238,PER
17,239.95374202675617,225.91098006535455,HAM
18,131.02237026913454,135.12252644457735,PER
19,239.5227546611456,246.90413360463862,PER
20,275.20825379905705,276.61335288550265,PER
21,212.0419904234836,188.2700281363765,HAM
22,148.80426376262338,158.32686182788743,PER
23,217.0637826084022,220.35824407616403,PER
24,224.24516320792551,229.40452726843455,PER
25,253.83750080000002,,HAM
