Minisector,PER,NOR,Fastest
0,272.16577379047624,269.5695435110586,PER
1,249.0766076815423,244.6706820853359,PER
2,114.55284815773211,110.65441320491455,PER
3,170.83115102862365,175.65237723214287,NOR
4,183.0159123061074,178.53560793814816,PER
5,212.97462854461529,208.54007777777778,PER
6,269.2895010552281,265.76987485551535,PER
7,286.5388095238095,283.0031216931217,PER
8,202.03090955199283,179.70925290338474,PER
9,131.78019449103044,131.00929314160348,PER
10,126.83557233671195,127.27198174143253,NOR
11,178.96912227509378,175.87980736402596,PER
12,230.39400851339332,224.90245734223515,PER
13,130.2940756926425,126.24142657531323,PER
14,152.60829391765083,139.74480794644606,PER
15,114.03084531437449,125.50440960392841,NOR
16,242.00183151799783,247.50687138637545,NOR
17,150.29706780241045,140.1522213644121,PER
18,188.63354438117446,196.52007096990994,NOR
19,126.5587344481744,121.75037465222564,PER
20,119.70918160819639,127.50533734522365,NOR
21,120.16203431658876,118.9317214405742,PER
22,135.7171240664836,138.2830870092488,NOR
23,217.33048562398875,206.3254023504193,PER
24,234.25151454528444,231.18044001944014,PER
