Minisector,RUS,HUL,Fastest
0,297.3017884232618,305.549846382399,HUL
1,308.95395840888887,322.51618420266664,HUL
2,311.5168817107609,332.1554896870799,HUL
3,294.80904400089014,309.95626845333334,HUL
4,160.2974438307279,160.53343257291357,HUL
5,211.9448505819665,202.09482448438968,RUS
6,244.29098522874457,233.94724709353534,RUS
7,271.55543120981474,268.859847825989,RUS
8,240.73766470580085,247.58481978412698,HUL
9,161.7017579557639,154.39181742540882,RUS
10,212.6678467949714,220.81348588738834,HUL
11,125.07186771389475,122.41387053645066,RUS
12,230.2341679483563,232.59666807926902,HUL
13,176.76608481203252,177.90689266559718,HUL
14,224.13027426107107,213.03290823362602,RUS
15,246.98452208688994,241.02906755555557,RUS
16,270.00137054796994,267.7872248866183,RUS
17,300.88428920392994,300.9925315495798,HUL
18,144.90338366473458,156.69871356952382,HUL
19,172.2993624398495,168.54257329546897,RUS
20,138.70045267635487,133.972374124672,RUS
21,232.02973291742902,232.1801020589208,HUL
22,265.4525935498183,264.0693050846102,RUS
23,255.60293035479202,249.83956628502165,RUS
24,281.02800441803174,281.5318842099964,HUL
25,,296.71250239999995,HUL
