Minisector,HAM,GAS,Fastest
0,274.4340562678475,274.6808011758274,GAS
1,305.1213667562152,307.04121375492065,GAS
2,325.63344918874077,327.16107958204077,GAS
3,341.7678891404603,338.96705359960583,HAM
4,346.5148550551805,347.4583146123428,GAS
5,347.81688984761905,344.6366341127171,HAM
6,220.8613509182098,178.74080576723352,HAM
7,107.39220446414247,103.97637127964342,HAM
8,191.03689673089886,185.57218723661376,HAM
9,263.14632692172336,267.77114944,GAS
10,296.0110639589952,300.62711318031745,GAS
11,157.81081680510894,133.71126141126985,HAM
12,98.28607948993177,97.47007923770481,HAM
13,115.16212782263074,120.621824005301,GAS
14,218.39771155169083,218.20655176092959,HAM
15,189.76728840131724,192.96741174519187,GAS
16,220.55644700606064,223.99850942060604,GAS
17,178.86847012689392,178.87747833135785,GAS
18,236.4634616321195,241.23373413988304,GAS
19,276.6858614480672,282.55832832739566,GAS
20,232.47807823597594,219.63145826065877,HAM
21,142.28350513763266,140.52223636639818,HAM
22,100.95229137312323,99.39975830424477,HAM
23,124.65771416809524,126.15064735141449,GAS
24,227.05301497973122,231.53044433002506,GAS
