Minisector,VER,PER,Fastest
0,272.33506204336993,269.52387246547863,VER
1,291.63311397696526,291.84143345556936,PER
2,274.4957361281935,282.9071344943997,PER
3,156.45286984614825,156.73931747887957,PER
4,193.2571909375312,192.30004616097108,VER
5,169.38880526422798,167.8112922816259,VER
6,161.38497256973164,157.25747522172824,VER
7,188.37975383018082,185.369907955836,VER
8,243.96188488450218,238.2880073551782,VER
9,230.25974890819046,225.4287243525923,VER
10,141.89592285714286,141.24639558919245,VER
11,220.45657409915418,218.37026495613623,VER
12,112.54309556079025,103.15328070583827,VER
13,210.96527586899035,217.73516597255284,PER
14,265.44886585242233,265.71152106335404,PER
15,275.88616583185376,272.9281378937198,VER
16,177.59208762695795,167.81334665787,VER
17,161.01979488026734,158.4324183807864,VER
18,251.02779595701125,253.98255434355966,PER
19,282.2057634711111,281.93129725815004,VER
20,293.8247788773171,294.9451278189836,PER
21,284.0846000737717,287.20556895007076,PER
22,238.5737275319357,209.43537158194755,VER
23,101.65011953943666,102.73838030221825,PER
24,225.04279390320542,223.94108079045205,VER
