Minisector,ALO,SAI,Fastest
0,303.0893228666667,305.99186082805267,SAI
1,224.72764480298613,234.39820599280876,SAI
2,129.03312815691334,126.23451710509003,ALO
3,213.5129622762348,214.83239527089165,SAI
4,259.89482021668647,261.69698926170213,SAI
5,283.15485478496726,286.7988785014286,SAI
6,297.2128193777778,299.71031172661066,SAI
7,270.74199631519707,282.49806723697014,SAI
8,169.11557106481888,169.36078779875206,SAI
9,240.06687118846858,236.43994240533502,ALO
10,270.870615265702,271.6692595437037,SAI
11,256.23125886431376,262.8830445890727,SAI
12,210.3247253737474,205.29769773161357,ALO
13,119.00193241351579,106.81279711745557,ALO
14,124.74133307901235,124.85643720612512,SAI
15,158.22664076689625,158.80687156630984,SAI
16,117.54894471312456,132.56680355756296,SAI
17,228.04221802901563,227.46447388818714,ALO
18,178.8970081165576,172.77909040054433,ALO
19,164.58437342990123,160.25428117640075,ALO
20,243.62557735238096,246.7964222787826,SAI
21,270.871969838522,274.67632698349206,SAI
22,287.6979147236907,290.42564290635585,SAI
23,297.2538257385281,299.3095536685714,SAI
24,301.33529402352946,303.1158333866667,SAI
