Minisector,HAM,PER,Fastest
0,317.2037499352381,322.326756167619,PER
1,323.55041664,330.58312512000003,PER
2,325.7548245333333,326.76537699894175,PER
3,173.57364994800514,168.8170391699248,HAM
4,140.19400462414194,139.17861551360645,HAM
5,270.85117226748736,269.6009054144928,HAM
6,298.4028143768522,302.1207929146932,PER
7,309.88083322666665,316.9188595087719,PER
8,261.88739051959413,258.34205132518395,HAM
9,163.580154059243,152.69152731481952,HAM
10,233.9430611569097,219.42417975172413,HAM
11,238.60569959267397,224.00035311261422,HAM
12,213.69454306933415,198.87663168786483,HAM
13,276.40731102709645,273.55698600043826,HAM
14,303.83757152701014,308.4748985539048,PER
15,316.98564361539565,318.9561403508772,PER
16,266.9102912380952,252.80096315897435,HAM
17,228.29019317650273,212.70665163059795,HAM
18,281.74477854199137,278.1647435944796,HAM
19,307.22073657182113,310.3843042726817,PER
20,318.1139582933333,322.53211878190274,PER
21,303.22297000731277,296.5321033939394,HAM
22,227.0838650473145,209.3053725686801,HAM
23,276.8112079070449,270.4577622285714,HAM
24,305.47192558701215,306.90235095619045,PER
