Minisector,BOT,VET,Fastest
0,305.20818104280613,311.08023084058203,VET
1,319.9743574745206,328.15225534292694,VET
2,288.8529311547524,319.3052978492216,VET
3,114.96432596379833,117.96410046801148,VET
4,226.31442851607756,224.867078020843,BOT
5,274.825,264.61720430903756,BOT
6,226.21311012086238,211.8197110212552,BOT
7,167.2470763966651,160.4047903747009,BOT
8,202.4757597878165,195.81738785629622,BOT
9,220.12244199947762,211.35456062200018,BOT
10,115.14229539599239,114.55979080411464,BOT
11,228.8800478475381,230.8547290256728,VET
12,116.3751729082292,117.73671009229297,VET
13,223.702617459225,225.8143904460047,VET
14,272.2925423897226,272.4610729195065,VET
15,227.93538339704224,218.76869555108445,BOT
16,198.72293486180462,197.99105084831757,BOT
17,254.69520097578567,251.46840598566794,BOT
18,209.12955991544368,203.12914661564906,BOT
19,184.18931580678682,185.40701782747362,VET
20,269.02284562963746,270.74763768526327,VET
21,294.5531954689212,292.8184062812078,BOT
22,160.69227826172366,168.7284460852764,VET
23,208.53103046663168,206.42225893187668,BOT
24,272.98798712477515,273.1968836955491,VET
25,286.37916693333335,287.2374997333333,VET
