Minisector,RUS,HUL,Fastest
0,286.93916974288334,298.9879998933333,HUL
1,289.71378085361505,306.1179087557168,HUL
2,162.48103796727042,155.67625741526695,RUS
3,222.24234030137566,222.77353415799274,HUL
4,271.11012208763856,272.4071029671957,HUL
5,291.40009959394956,292.93114939713683,HUL
6,295.12267846597945,294.89259691838953,RUS
7,163.9980721671499,170.52159358951357,HUL
8,123.88329692130621,123.3255628893773,RUS
9,253.5061810953623,250.0929606781355,RUS
10,283.40369762666666,285.68901703107394,HUL
11,296.9421284088889,293.0935555271111,RUS
12,151.52374812420084,135.38669956318356,RUS
13,188.31201719536492,192.09475125465838,HUL
14,254.6922987980724,253.708835978836,RUS
15,201.46313216646465,190.00941480365938,RUS
16,209.22620101383387,208.4755049073874,RUS
17,214.68043350588235,195.18951645238096,RUS
18,236.37850231025195,236.39356409393372,HUL
19,273.6238534367291,275.36065476190475,HUL
20,294.55042782497503,291.57957027632165,RUS
21,263.1791552195139,250.48332724356095,RUS
22,218.47436277598544,214.71143043198617,RUS
23,204.99386098924768,205.76680104281706,HUL
24,261.77294164462586,265.52075003199997,HUL
