Minisector,OCO,LEC,Fastest
0,253.68888031783686,252.50074988543182,OCO
1,214.85535952437573,212.0258958237437,OCO
2,202.360476561338,202.5440922233683,LEC
3,255.59800236098414,255.18507003486212,OCO
4,267.8137660468755,265.94675467667497,OCO
5,289.08637361744695,284.29285335736887,OCO
6,166.89835555378428,159.25256554331284,OCO
7,178.59635845682706,180.43364429244627,LEC
8,267.5022261754929,265.9828846413537,OCO
9,293.1200568875573,290.78927717352343,OCO
10,304.0183068318192,301.55338536138186,OCO
11,309.51345487480756,306.44907495539394,OCO
12,113.07705631515486,113.43093138836502,LEC
13,181.760203697079,189.22028755892984,LEC
14,271.1903131672194,267.8879261972499,OCO
15,296.8676826409122,293.0548767450267,OCO
16,306.0839242880529,301.42637113935007,OCO
17,182.13075134722789,177.03429543255618,OCO
18,218.00607273655385,217.51564246793842,OCO
19,263.07621646244627,267.71472489809474,LEC
20,152.81466337026933,154.44576874494706,LEC
21,141.41496254333038,142.57405874585206,LEC
22,216.75734345934018,218.56599784402763,LEC
23,226.29610908128913,232.44835568268033,LEC
24,156.32478959888724,153.72851060085938,OCO
25,,224.3,LEC
