Minisector,LEC,ALB,Fastest
0,281.37376995473545,272.40276046531585,LEC
1,297.04058460383453,292.8264900440398,LEC
2,240.6951763883248,245.2064444289294,ALB
3,119.20917846006479,126.92108941100987,ALB
4,145.6530679963251,124.76325646829082,LEC
5,255.773191670351,238.30861899799606,LEC
6,258.0596707438779,268.2555907267616,ALB
7,129.291495097826,123.24248371698302,LEC
8,252.24448288306294,233.42921207558317,LEC
9,266.09307051178615,243.16635187028047,LEC
10,214.92900187995198,210.9854012337676,LEC
11,152.9692751390199,144.28035377482215,LEC
12,219.02708770251138,185.3206503549622,LEC
13,266.88220908782756,257.1294759099289,LEC
14,118.02971168622072,119.56610097123807,ALB
15,202.53476366945776,173.48075376018414,LEC
16,261.7595844026045,246.6941595379487,LEC
17,288.1712460331729,280.83288777723357,LEC
18,297.4007942164122,294.90300002423754,LEC
19,301.6849206857143,300.02017549473686,LEC
20,304.5217105403509,301.90043156801784,LEC
21,156.61203790112785,206.46292025126434,ALB
22,158.02464938128415,125.77965176078615,LEC
23,194.67135450399707,199.35993515499678,ALB
24,241.80340343398007,220.69481966956275,LEC
25,,256.6500010666667,ALB
