Minisector,NOR,LEC,Fastest
0,290.3508853439891,287.14641162220744,NOR
1,293.98530756491226,299.06067442756085,LEC
2,161.00748405814335,170.29278265238096,LEC
3,221.66144579079025,216.3780228119779,NOR
4,270.5184090032307,266.46944422312924,NOR
5,287.2739036310777,286.0276316631579,NOR
6,286.01638472982455,292.8729364421,LEC
7,181.13004425851483,196.8252881213404,LEC
8,122.45308413708716,114.31662935146251,NOR
9,246.9465772315315,241.77305881573497,NOR
10,280.34224373998495,277.46890748232744,NOR
11,285.1342593185185,291.49320157192983,LEC
12,150.95077047041738,155.1332860501544,LEC
13,188.2830128056923,181.51821405968255,NOR
14,254.26704814712755,254.528596298064,LEC
15,195.40233570679882,207.70437724889248,LEC
16,215.1202930348836,214.08423074141243,NOR
17,213.31676643809524,220.92103817100335,LEC
18,244.2339889910008,239.6252977177489,NOR
19,276.71111202215843,271.6021224777192,NOR
20,290.2244708740741,288.9746920233895,NOR
21,265.994029911133,272.59048688312134,LEC
22,227.3190850297104,228.45545526685535,LEC
23,202.79321683488993,197.12325854814813,NOR
24,262.0431807259546,257.857587117128,NOR
25,279.66250026666665,277.75833386666665,NOR
