Minisector,ALO,LEC,Fastest
0,287.08259846274507,291.9543391955506,LEC
1,291.80963553333333,303.3369426488889,LEC
2,167.0898995967527,162.64179891612903,ALO
3,227.93782730217578,224.30776789730464,ALO
4,273.30000786859455,274.8195322,LEC
5,288.9325524,295.3427088,LEC
6,294.3374864741945,304.5303637405501,LEC
7,165.17311771954886,168.66838524006567,LEC
8,133.1270311341729,130.65381196690836,ALO
9,248.27124160802003,248.64358633650792,LEC
10,278.1979789342689,283.87818679215684,LEC
11,286.0345588705882,299.02138830222225,LEC
12,144.64556050080932,146.39368402655123,LEC
13,200.93281402711364,190.8843776,ALO
14,256.35416687407405,260.08750096842107,LEC
15,198.54704351229014,185.9152909929852,ALO
16,219.4392717476966,219.8186810267574,LEC
17,219.92927461245338,207.75939973095393,ALO
18,245.6970309084473,242.90104298666665,ALO
19,272.8991191037714,276.13345632941173,LEC
20,288.09880926666665,293.8987711513139,LEC
21,268.4470597647059,248.49235863703703,ALO
22,224.7489844054267,217.35051816499006,ALO
23,207.76977711515153,203.96799432727275,ALO
24,262.3454044289333,266.56993598228416,LEC
25,277.5458336,,ALO
