Minisector,GAS,NOR,Fastest
0,290.2564982412954,288.72320772909336,GAS
1,300.5311358138349,298.85684592592594,GAS
2,295.48003282337,304.3847144133067,NOR
3,190.2243417346263,200.34853639356407,NOR
4,209.33516506024026,212.55703924689277,NOR
5,203.07252321966226,204.7792497858076,NOR
6,263.61587202255646,261.712127219512,GAS
7,258.53737653024154,262.435201591342,NOR
8,211.26129785363287,222.0563428739527,NOR
9,211.65673651296456,221.6030085775238,NOR
10,144.63500823968468,138.757945016306,GAS
11,205.21696743833107,214.73036947130603,NOR
12,187.32084694326716,182.75540514654378,GAS
13,253.07187452623322,252.86115278089719,GAS
14,181.45930433786535,187.53611902841268,NOR
15,231.39620934714557,230.36627247674735,GAS
16,279.4720244792381,277.76149002136646,GAS
17,285.41227277035347,289.4994024302575,NOR
18,275.8838807768819,282.1522946365714,NOR
19,265.46117455085715,271.5842272588833,NOR
20,259.57806099255413,272.35540794805,NOR
21,260.27808040550264,264.63474280671204,NOR
22,234.29392021117985,242.56583854745256,NOR
23,207.79136376377093,212.96580424302215,NOR
24,267.8958971388904,268.0187547385052,NOR
