Minisector,ANT,HAM,Fastest
0,309.41602025396827,297.7797956152749,ANT
1,160.39678572239492,163.96248617642917,HAM
2,153.0390170635358,155.49906231012724,HAM
3,237.14775486224485,229.13838681429846,ANT
4,290.6510734172135,290.05821166655164,ANT
5,283.3620522888808,293.38677782303034,HAM
6,145.71010102713956,147.71324797140957,HAM
7,152.18749860827216,137.71614075132683,ANT
8,137.59636338959905,145.56337385241582,HAM
9,199.1647418084764,184.5211551385827,ANT
10,126.29951629669648,137.32804978690274,HAM
11,126.7899132641638,132.78423501883017,HAM
12,172.10723630756968,165.80387691086406,ANT
13,271.05879799180434,266.39369901218276,ANT
14,296.61144386253534,292.90627320438284,ANT
15,144.80223101355196,153.75281307305883,HAM
16,208.72405108718277,209.97494041497637,HAM
17,176.512212215522,171.28811337846741,ANT
18,271.97601164765734,271.2751759074057,ANT
19,297.4444284901194,295.3054985808872,ANT
20,311.67786130856655,310.7693191049956,ANT
21,321.55629748338083,321.08327625013897,ANT
22,326.1721522336258,325.9627662345308,ANT
23,330.0993252286967,329.4068990703555,ANT
24,329.56747878341014,325.5043260558812,ANT
25,,321.80439883533387,HAM
