Minisector,ALO,STR,Fastest
0,253.5076335395918,260.9417975697828,STR
1,121.72490130407127,127.29979744467609,STR
2,257.3421286236125,254.13046863737273,ALO
3,303.60898271067845,301.0203406363215,ALO
4,302.61839894456654,301.04117750836457,ALO
5,307.44791659259255,305.6982110933333,ALO
6,310.02517529757665,311.5235999744,STR
7,309.0062265965958,310.3903683889459,STR
8,185.84617186997752,192.22033380578,STR
9,188.76778406120823,187.74854897133383,ALO
10,172.0624140104735,186.05831786711596,STR
11,172.01270779223077,164.9549606815215,ALO
12,255.08292896355553,250.36778434116465,ALO
13,273.7235950813689,274.41851805180954,STR
14,277.37380228295234,273.43859352204265,ALO
15,268.7237548523174,261.47279488554113,ALO
16,180.24929835397188,176.3179370488889,ALO
17,183.4153414374603,182.19580870282462,ALO
18,234.2436658935238,230.7728186410368,ALO
19,285.4143850542945,281.9548723301587,ALO
20,307.52298270650857,305.79046889432544,ALO
21,314.5715469818093,313.32449998019047,ALO
22,313.07003716285715,312.7368313526586,ALO
23,247.98645416654162,243.14987105180376,ALO
24,103.35168891393054,110.17748208471758,STR
25,223.05249472,,ALO
