Minisector,NOR,PER,Fastest
0,297.57046151898345,298.4795303957672,PER
1,222.39690479714938,218.18214749308407,NOR
2,232.36437700266666,227.50144571213676,NOR
3,276.70591447377365,275.3559981000448,NOR
4,253.31532172240267,242.0300382464,NOR
5,131.061067129403,126.87379684524107,NOR
6,209.31151927488557,209.77736893683812,PER
7,265.3383879205442,263.95528837056276,NOR
8,255.1129116147131,256.59173814214876,PER
9,241.19114790464272,244.34128330250977,PER
10,278.0179683213382,279.4516764952381,PER
11,294.30936717381513,297.8673122278095,PER
12,305.3375055158277,306.6346976186667,PER
13,309.970916008283,310.4281640822055,PER
14,310.02083352470584,307.6548723875969,NOR
15,271.03090911883544,271.35701454343683,PER
16,253.37153710309633,245.50380627587978,NOR
17,282.5122698710204,280.7161719272727,NOR
18,294.9576184693498,289.6823234143319,NOR
19,164.73799660025912,157.34710038858245,NOR
20,210.50666255782312,206.14097665714465,NOR
21,185.81345197876826,188.42272985708183,PER
22,138.73608129127027,138.7434705952761,PER
23,243.87064628520235,237.96248400341526,NOR
24,284.6832328488493,285.2004810376894,PER
25,,295.9874992,PER
