Minisector,BOT,KVY,Fastest
0,324.40905905573317,328.3282150059422,KVY
1,334.0350906702948,344.2277775746032,KVY
2,338.95286260819046,344.8061508571428,KVY
3,192.30453319267397,192.92089659759768,KVY
4,120.70254230056497,120.51306036300267,BOT
5,268.0515172228278,265.39478577995357,BOT
6,306.5479166666667,300.8125734121306,BOT
7,322.4734848969697,308.2894096888889,BOT
8,279.8103740702828,266.23942117248674,BOT
9,141.04928897326067,145.6207646936517,KVY
10,230.59725461136713,216.43321160784313,BOT
11,212.23409018511666,214.83176170749365,KVY
12,197.655442445541,198.89814862222224,KVY
13,270.79444448395066,269.67671236460933,BOT
14,311.98754140183223,304.0041228777778,BOT
15,330.1386963506128,311.5657071708372,BOT
16,270.04026678969774,256.53222014285717,BOT
17,196.5936039226178,203.91763046603384,KVY
18,269.46661817325025,272.9216337289377,KVY
19,308.45316117321215,306.5341299849275,BOT
20,325.5151515151515,316.9927536231884,BOT
21,316.360981068739,295.7638949604171,BOT
22,205.89288410517887,207.76511006884118,KVY
23,263.59219381210136,267.2240046539342,KVY
24,306.4180951710476,302.9374498031746,BOT
