Minisector,SAI,RAI,Fastest
0,272.17129408163174,269.897566555486,SAI
1,289.1543593155561,287.7925158229114,SAI
2,296.1207687223702,295.84394463433813,SAI
3,127.51456586593315,130.6725740702939,RAI
4,198.84271774022076,190.77792886949612,SAI
5,256.34135076995744,257.27513911300633,RAI
6,137.9074025236084,138.77739764306727,RAI
7,209.18219503745587,207.58388443748555,SAI
8,260.2691827113215,260.28131570173457,RAI
9,281.0676013700984,280.6376905715808,SAI
10,227.4223971052598,241.92336897421214,RAI
11,176.4593927270857,185.29075721125645,RAI
12,196.09369908623805,187.6366797029751,SAI
13,145.00853189133312,149.47047784492747,RAI
14,175.5710948073312,171.81262809958588,SAI
15,158.0859243005374,159.57784277272913,RAI
16,217.9143785188634,209.63345441417428,SAI
17,235.20947304111468,238.46717235888573,RAI
18,240.8154426014327,233.11223134210513,SAI
19,245.53257734740754,251.3992854754494,RAI
20,144.1730223468516,140.8198903043895,SAI
21,132.31239531348194,139.29329092552842,RAI
22,170.7510953365446,163.74373993781438,SAI
23,149.46009258460572,150.95234954482913,RAI
24,233.5954905001954,224.4698778799433,SAI
25,,254.7916672,RAI
