Minisector,HUL,RAI,Fastest
0,292.1959597286771,313.2779582037149,RAI
1,198.5091798115909,189.44642254180002,HUL
2,221.55987782288997,222.98079035297556,RAI
3,271.6564498069684,280.8144388441911,RAI
4,232.77420586073174,233.52198931303104,RAI
5,122.75950430797089,120.87703104653475,HUL
6,206.46581038153892,206.72074937836533,RAI
7,254.2009144158749,256.6909029101693,RAI
8,205.71017457882826,201.43486076893367,HUL
9,206.1436891389674,207.14241980631306,RAI
10,262.9149570699043,267.87696608994054,RAI
11,209.30088898550306,198.65818333069268,HUL
12,175.09536209558155,174.51381356515566,HUL
13,258.4417436942186,262.48202396982964,RAI
14,280.46732337499924,287.0411082051602,RAI
15,258.99834483712914,258.9718748616467,HUL
16,234.77297402820074,244.0653468563605,RAI
17,270.48198891693147,283.38736008667286,RAI
18,284.4866250412815,303.12998772426386,RAI
19,169.8698176840363,161.20726756846858,HUL
20,209.4021072232241,198.46988082299723,HUL
21,168.39005315601264,162.452972009267,HUL
22,141.11880482023128,140.56374257321096,HUL
23,238.13760936121764,243.67655412830837,RAI
24,278.7556361321202,292.74902936384467,RAI
25,289.76666666666665,,HUL
