Minisector,OCO,MAG,Fastest
0,263.5352902339416,260.8491961888945,OCO
1,134.89015989817386,131.81380994744674,OCO
2,265.9996618892377,264.57752704268813,OCO
3,307.8847750359008,304.07299976533335,OCO
4,307.07521047960887,300.73009311796017,OCO
5,313.64822592513576,308.24149973333334,OCO
6,319.0496528,312.57909425178883,OCO
7,316.90973375508753,313.4539932,OCO
8,202.70608284929736,210.72349718518518,MAG
9,197.67253924736164,197.28307118223367,OCO
10,185.04012116462587,188.9132427997386,MAG
11,161.15457744344428,162.4805367857021,MAG
12,252.7158346361215,252.33631496865084,OCO
13,277.4052467753086,285.84048755178964,MAG
14,278.2662501058495,283.5867723738977,MAG
15,269.69751189659866,285.2451528820513,MAG
16,185.23250200121194,187.45798790080784,MAG
17,188.78099214144154,195.42912073480764,MAG
18,242.48396921691787,239.0326450926796,OCO
19,289.4865710384762,285.52369689403145,OCO
20,312.93883332266665,306.19783296,OCO
21,319.7383453371981,313.98265403871545,OCO
22,318.89484326623415,312.4242753391304,OCO
23,261.13339875002646,275.17700812255305,MAG
24,113.37889197945454,113.78766357703479,MAG
25,229.27860287815048,232.08333333333334,MAG
