Minisector,LEC,VER,Fastest
0,267.2907635039946,265.36271983157894,LEC
1,298.36537701948964,295.7606880005601,LEC
2,313.453189170068,310.6141743523809,LEC
3,322.3552618096929,318.0946428952381,LEC
4,327.9624390116233,322.571131047619,LEC
5,330.8773384272109,325.5,LEC
6,272.6520794074074,285.9559108142675,VER
7,115.99221433355702,112.4295572713849,LEC
8,156.69574220949931,146.20235568272716,LEC
9,255.1919002666667,250.72522049122807,LEC
10,292.1062506,289.27558521086456,LEC
11,246.3265340262782,251.36090719130797,VER
12,94.4546058843215,93.5084852760096,LEC
13,113.59400389128919,110.86284732115621,LEC
14,219.79264565982515,214.2100386909091,LEC
15,190.73599906133336,188.27336904347825,LEC
16,219.9553809606643,221.04216456320984,VER
17,195.37088217777776,188.86890478933333,LEC
18,223.332768816809,223.6940704133073,VER
19,274.2870377481482,274.08563998095235,LEC
20,289.94944312888884,290.97838486666666,VER
21,161.1359666839714,157.77909538300662,LEC
22,101.88767712498209,101.71385564965271,LEC
23,122.88070264225203,120.79528499649122,LEC
24,207.28962290202236,200.22651544242424,LEC
25,246.6625024,244.885416,LEC
