Minisector,RIC,PER,Fastest
0,231.19609627101815,232.04827502601452,PER
1,285.11307124419045,281.72839462716047,RIC
2,312.1759126160201,296.4624494365609,RIC
3,325.15327973244695,303.2883282020704,RIC
4,282.7261886945055,267.9776315269704,RIC
5,158.53039215525968,165.78581864624633,PER
6,254.29704315457622,261.25928103844797,PER
7,269.27822525096127,277.4188616168159,PER
8,212.56365887478273,202.0192612037065,RIC
9,216.1592074853665,215.55530539916697,RIC
10,178.8588113456394,169.53617466666668,RIC
11,221.5751060927078,225.8044268050168,PER
12,202.70348693726217,193.0236324108907,RIC
13,206.01556094107596,198.68933603809523,RIC
14,214.8487462554864,211.96588075138203,RIC
15,177.44086449608398,168.61237006932194,RIC
16,239.94358105244302,246.60100498390807,PER
17,276.92215798146503,284.6108780900187,PER
18,283.64897633836785,299.317889595958,PER
19,275.16923142564104,282.8708026173337,PER
20,131.74993031403125,129.95410031213282,RIC
21,162.22019605513782,156.27284732630142,RIC
22,144.67433404651283,155.24515096551156,PER
23,202.2981788466077,201.10078936216217,RIC
24,143.70216499254985,147.915269310321,PER
25,180.56667306666668,,RIC
