Minisector,GAS,RIC,Fastest
0,260.07992682041584,266.676782883536,RIC
1,133.8301186252415,137.0726947606997,RIC
2,198.24884321185183,201.03509818324017,RIC
3,244.80516626694364,250.47757994829018,RIC
4,260.92454875930446,261.8020822857143,RIC
5,183.5162043280922,175.8259756744353,GAS
6,151.03673660301402,145.0696579655973,GAS
7,189.5786625954246,183.60874225822982,GAS
8,106.51034093675575,103.96147575963906,GAS
9,77.5245081030543,73.50255852075865,GAS
10,97.53906338288995,93.88185241397503,GAS
11,185.53902081204464,178.15481652012247,GAS
12,244.1138521943801,247.89123544931863,RIC
13,265.67684840869475,272.5849418473571,RIC
14,278.56726919797387,285.903409729334,RIC
15,121.10980029274215,123.12383424103162,RIC
16,149.27762160313432,133.94791929903784,GAS
17,189.64868429473685,189.11393736136682,GAS
18,197.51080442300386,200.07299085824806,RIC
19,208.84366908545542,216.59884321379903,RIC
20,137.29074335196464,136.96707337212973,GAS
21,116.73430009413923,115.28640028312788,GAS
22,98.29407290187433,90.11058200776586,GAS
23,196.70968616240782,191.5347480080302,GAS
24,248.40126762325812,251.97740355666903,RIC
25,261.23333333333335,267.07531119020814,RIC
