Minisector,SAI,PER,Fastest
0,300.2039468350877,287.9746965985351,SAI
1,311.336896512207,293.467695421188,SAI
2,158.28917474818005,169.07327114761904,PER
3,216.3421433910006,220.25610660935158,PER
4,280.1072324223113,270.6829971716344,SAI
5,307.7268904156863,291.78981481481486,SAI
6,320.18918408161437,300.40661586715436,SAI
7,187.7801285661777,177.96471804675244,SAI
8,114.22544553146636,121.2964043773711,PER
9,255.00595144126987,245.6687074829932,SAI
10,301.80622779325654,282.26137756967285,SAI
11,319.98593753333336,293.34452386772386,SAI
12,152.39114147329013,157.67200923597915,PER
13,188.3336598958922,188.49470554094174,PER
14,256.13988058412696,254.97021311518233,SAI
15,207.26063270503408,210.39585047351383,PER
16,221.29687426666666,216.34166666666667,SAI
17,218.6490843594759,217.75083810463482,SAI
18,242.4763586018767,242.7775359536232,PER
19,276.49801554285716,275.27085881276565,SAI
20,288.61828705185184,289.7780700631579,PER
21,268.0244950095238,268.42229168,PER
22,234.51516612505173,227.22214470579252,SAI
23,206.30138563915648,204.82554715327328,SAI
24,263.82470185904765,261.1744046730159,SAI
25,280.1,280.3083328,PER
