Minisector,PER,STR,Fastest
0,284.8371156675571,281.86556722096327,PER
1,137.11258716610192,139.0042937082666,STR
2,212.6865898237825,212.1649866601271,PER
3,285.7144837141395,277.73222816646285,PER
4,321.4968166587251,308.9545157757098,PER
5,312.78533834586466,295.5665526090386,PER
6,151.94544101113453,149.2090669931654,PER
7,241.51024802515366,237.122932436434,PER
8,108.8171748578989,109.43240308741723,STR
9,168.20331944755338,165.85606131354572,PER
10,275.5488838537724,274.7235457475063,PER
11,299.36444979320623,296.22984059681784,PER
12,220.28418823892025,212.28759587238687,PER
13,175.34269283016414,176.39280187869596,STR
14,277.56845453970584,274.84661232014946,PER
15,309.29317222215155,309.4782890592077,STR
16,322.97134379824706,321.7119550542684,PER
17,331.81277454984763,328.7764244653134,PER
18,343.3265538269355,330.7554261167702,PER
19,348.28528313687076,325.7892699853782,PER
20,189.56850902996877,195.0230442366764,STR
21,174.54036497150142,168.45326328931247,PER
22,274.89285628673366,280.3068392329977,STR
23,308.5692319652878,309.99979741389836,STR
24,320.9127739984883,318.3391001134732,PER
25,319.0,,PER
