Minisector,PIA,ANT,Fastest
0,271.5336618492517,270.30142777563475,PIA
1,253.51826428034445,255.01788283614619,ANT
2,119.6863508618449,126.59753954424242,ANT
3,176.00390682786636,166.788855968354,PIA
4,196.64398964008734,203.29896261946448,ANT
5,198.52028140901587,192.93954636478097,PIA
6,262.5175089636431,262.65699150169274,ANT
7,283.17473348667795,286.708947671579,ANT
8,235.07401060124445,249.76739973904762,ANT
9,147.16267539087718,150.00702607174765,ANT
10,119.7270340100118,122.07227736610265,ANT
11,170.72151902930477,161.23026454089236,PIA
12,247.67450944738815,239.8918124193567,PIA
13,162.90438026096365,163.24206729414678,ANT
14,150.57869648267334,148.7589747073112,PIA
15,106.36627068551849,109.86430812509305,ANT
16,216.04438293237746,215.21912313101544,PIA
17,228.88138553637427,236.46965042075064,ANT
18,130.89089438081535,120.60611975677249,PIA
19,239.37635684419047,238.7933760138528,PIA
20,274.3387550448828,271.89768392689774,PIA
21,203.21173951259843,218.00365973278912,ANT
22,156.06716538152145,142.43400596994346,PIA
23,220.3901567748857,215.3141963807448,PIA
24,235.66569016259217,231.04920248490998,PIA
