Minisector,HAM,GAS,Fastest
0,312.2283452111271,300.7433271163363,HAM
1,217.20994620069266,185.39979309994345,HAM
2,217.8733288509807,213.78739174464988,HAM
3,271.5708245222071,271.6129528901027,GAS
4,249.71775629205433,240.97901564559942,HAM
5,122.15322697755481,120.34682594213,HAM
6,192.6666569281385,196.29844720084657,GAS
7,244.95706211208488,240.45506963279504,HAM
8,233.45165067542857,234.32281282635137,GAS
9,237.1896915817045,233.60577246379626,HAM
10,287.7554374285022,287.8340383219994,GAS
11,309.87578018526983,308.9957442485901,HAM
12,321.90751305869225,318.2625094205733,HAM
13,319.1726887958095,314.27460665121237,HAM
14,306.61118407314285,311.0,GAS
15,250.4609167585547,311.0,GAS
16,239.89093746742856,236.31407170070818,HAM
17,276.44305594074075,264.81566109663976,HAM
18,289.1883292725019,289.346587144127,GAS
19,151.24198799653018,193.1435509194646,GAS
20,195.36775354759726,170.87020283125543,HAM
21,177.09512128227067,194.75825741887303,GAS
22,134.63641753586165,120.98918664638029,HAM
23,230.23696496604487,194.91195697316016,HAM
24,291.0896583569675,279.3703605068922,HAM
25,305.1000009142857,298.6067705066667,HAM
