Minisector,RAI,ALB,Fastest
0,310.4549879630871,305.7092547380755,RAI
1,329.70736184597007,321.72526459732023,RAI
2,304.6218877633773,297.19831534475304,RAI
3,110.55295672080038,105.41442728412036,RAI
4,224.48810461851264,228.36820772808167,ALB
5,273.00391349052455,283.1881122653036,ALB
6,216.1756958066674,211.2750720780003,RAI
7,163.6100561852403,158.81389700791948,RAI
8,193.99650234573812,191.05087358798124,RAI
9,210.53451007756325,201.8699196137137,RAI
10,113.91409730698015,110.4395592810606,RAI
11,226.92476492993742,225.59346696314836,RAI
12,116.58251016413102,117.85441340069752,ALB
13,227.48861978059352,221.74372650993521,RAI
14,283.42205704781276,271.4383304045114,RAI
15,206.49741998755533,209.15457275478863,ALB
16,194.40885241007234,196.8240588183911,ALB
17,254.22539010632755,248.10259584094445,RAI
18,197.72968954275524,197.4953392286474,RAI
19,180.22745559396174,186.7096980211675,ALB
20,269.8991654102331,269.74725975319075,RAI
21,295.05931664085244,295.39208440699844,ALB
22,157.27313911051397,159.42510434871028,ALB
23,209.09529847519235,211.06567324218904,ALB
24,280.0397088137362,271.8421409395776,RAI
